===2018-07-27 09:26:02.593 INFO  com.kingtechfin.wxthirdparty.WxthirdpartyApplication Line:50  - Starting WxthirdpartyApplication on DESKTOP-8STST05 with PID 34564 (started by CaiShunfeng in C:\Users\CaiShunfeng\Desktop\微信第三方\wxthirdparty)
===2018-07-27 09:26:02.608 INFO  com.kingtechfin.wxthirdparty.WxthirdpartyApplication Line:659 - No active profile set, falling back to default profiles: default
===2018-07-27 09:26:08.089 INFO  org.apache.coyote.http11.Http11NioProtocol Line:180 - Initializing ProtocolHandler ["http-nio-8889"]
===2018-07-27 09:26:08.107 INFO  org.apache.catalina.core.StandardService Line:180 - Starting service [Tomcat]
===2018-07-27 09:26:08.107 INFO  org.apache.catalina.core.StandardEngine Line:180 - Starting Servlet Engine: Apache Tomcat/8.5.31
===2018-07-27 09:26:08.272 INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] Line:180 - Initializing Spring embedded WebApplicationContext
===2018-07-27 09:26:09.174 INFO  com.zaxxer.hikari.HikariDataSource Line:110 - HikariPool-1 - Starting...
===2018-07-27 09:26:09.643 INFO  com.zaxxer.hikari.HikariDataSource Line:123 - HikariPool-1 - Start completed.
===2018-07-27 09:26:14.336 INFO  org.apache.coyote.http11.Http11NioProtocol Line:180 - Starting ProtocolHandler ["http-nio-8889"]
===2018-07-27 09:26:14.351 INFO  org.apache.tomcat.util.net.NioSelectorPool Line:180 - Using a shared selector for servlet write/read
===2018-07-27 09:26:14.491 INFO  com.kingtechfin.wxthirdparty.WxthirdpartyApplication Line:59  - Started WxthirdpartyApplication in 14.377 seconds (JVM running for 16.894)
===2018-07-27 09:35:00.237 INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] Line:180 - Initializing Spring FrameworkServlet 'dispatcherServlet'
===2018-07-27 09:35:27.649 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:34  - ########################### REQUEST BEGIN ###############################
===2018-07-27 09:35:27.650 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:35  - URL : http://127.0.0.1:8889/wx_auth/wx_get_vipcn_info
===2018-07-27 09:35:27.651 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:36  - HTTP_METHOD : POST
===2018-07-27 09:35:27.652 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:37  - IP : 127.0.0.1
===2018-07-27 09:35:27.708 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:51  - PARAM[0] : {"orgId":1,"objcode":800901,"g_funcid":800901}
===2018-07-27 09:35:27.878 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:57  - RESPONSE : {"message":"服务正常","result":{"authorizerAppid":"wx3a325cf730413730","authorizerRefreshToken":"refreshtoken@@@Ho3Iufx5RHqiLMjHo-r5EZDJm6LgfRnyHSyKITU_cQI","id":1022409946237091841,"nickName":"金证前海Test","orgId":1,"principalName":"深圳市金证前海金融科技有限公司","serviceType":2,"signature":"金证前海Test","userName":"gh_955672f3d8f2","verifyType":0},"status":0,"timestamp":"2018-07-27 09:35:27.823"}
===2018-07-27 09:35:27.878 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:58  - ########################### RESPONSE END ###############################
===2018-07-27 09:35:28.235 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:34  - ########################### REQUEST BEGIN ###############################
===2018-07-27 09:35:28.235 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:35  - URL : http://127.0.0.1:8889/wx_auth/wx_get_vipcn_info
===2018-07-27 09:35:28.235 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:36  - HTTP_METHOD : POST
===2018-07-27 09:35:28.235 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:37  - IP : 127.0.0.1
===2018-07-27 09:35:28.235 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:51  - PARAM[0] : {"orgId":1,"g_funcid":800901}
===2018-07-27 09:35:28.241 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:57  - RESPONSE : {"message":"服务正常","result":{"authorizerAppid":"wx3a325cf730413730","authorizerRefreshToken":"refreshtoken@@@Ho3Iufx5RHqiLMjHo-r5EZDJm6LgfRnyHSyKITU_cQI","id":1022409946237091841,"nickName":"金证前海Test","orgId":1,"principalName":"深圳市金证前海金融科技有限公司","serviceType":2,"signature":"金证前海Test","userName":"gh_955672f3d8f2","verifyType":0},"status":0,"timestamp":"2018-07-27 09:35:28.241"}
===2018-07-27 09:35:28.242 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:58  - ########################### RESPONSE END ###############################
===2018-07-27 09:35:30.068 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:34  - ########################### REQUEST BEGIN ###############################
===2018-07-27 09:35:30.069 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:35  - URL : http://127.0.0.1:8889/wx_auth/wx_get_vipcn_info
===2018-07-27 09:35:30.070 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:36  - HTTP_METHOD : POST
===2018-07-27 09:35:30.071 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:37  - IP : 127.0.0.1
===2018-07-27 09:35:30.071 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:51  - PARAM[0] : {"orgId":1,"objcode":800901,"g_funcid":800901}
===2018-07-27 09:35:30.078 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:57  - RESPONSE : {"message":"服务正常","result":{"authorizerAppid":"wx3a325cf730413730","authorizerRefreshToken":"refreshtoken@@@Ho3Iufx5RHqiLMjHo-r5EZDJm6LgfRnyHSyKITU_cQI","id":1022409946237091841,"nickName":"金证前海Test","orgId":1,"principalName":"深圳市金证前海金融科技有限公司","serviceType":2,"signature":"金证前海Test","userName":"gh_955672f3d8f2","verifyType":0},"status":0,"timestamp":"2018-07-27 09:35:30.077"}
===2018-07-27 09:35:30.078 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:58  - ########################### RESPONSE END ###############################
===2018-07-27 09:35:30.308 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:34  - ########################### REQUEST BEGIN ###############################
===2018-07-27 09:35:30.308 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:35  - URL : http://127.0.0.1:8889/wx_menu/wx_get_menu
===2018-07-27 09:35:30.308 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:36  - HTTP_METHOD : POST
===2018-07-27 09:35:30.308 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:37  - IP : 127.0.0.1
===2018-07-27 09:35:30.309 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:51  - PARAM[0] : {"orgId":1,"objcode":800901,"g_funcid":800901}
===2018-07-27 09:35:30.547 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:57  - RESPONSE : {"message":"服务正常","result":[],"status":0,"timestamp":"2018-07-27 09:35:30.542"}
===2018-07-27 09:35:30.548 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:58  - ########################### RESPONSE END ###############################
===2018-07-27 09:35:32.876 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:34  - ########################### REQUEST BEGIN ###############################
===2018-07-27 09:35:32.877 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:35  - URL : http://127.0.0.1:8889/wx_auth/wx_get_vipcn_info
===2018-07-27 09:35:32.877 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:36  - HTTP_METHOD : POST
===2018-07-27 09:35:32.877 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:37  - IP : 127.0.0.1
===2018-07-27 09:35:32.877 INFO  com.kingtechfin.wxthirdparty.logaspect.LogAspect Line:51  - PARAM[0] : {"orgId":1,"objcode":800901,"g_funcid":800901}
